timestamp	script_id	model	status	weighted_avg	category	singular_vision	character_depth	thematic_ambition	emotional_specificity	world_originality	dialogue_language	boldness	label	outcome	error
2026-03-18T03:06:34.241348	10_Things_I_Hate_About_You_1x01_-_Pilot	openai	success	7.6	Exceptional								loser	0	
2026-03-18T03:06:49.363074	12_Monkeys_1x01_-_Pilot	openai	success	8.0	Exceptional								loser	0	
2026-03-18T03:07:00.778020	13146-Mindhunter-Pilot-101-by-Joe-Penhall	openai	success	7.8	Exceptional								loser	0	
2026-03-18T03:07:20.777473	13_Reasons_Why_1x01_-_Pilot	openai	success	8.0	Exceptional								loser	0	
2026-03-18T03:07:38.288306	24_Legacy_1x01_-_12.00_PM_-_1.00_PM	openai	success	8.0	Exceptional								loser	0	
2026-03-18T03:07:57.107119	30_Rock_Pilot	openai	success	8.4	Exceptional								loser	0	
2026-03-18T03:08:17.069095	666_Park_Avenue_1x01_-_Pilot	openai	success	6.8	Promising								loser	0	
2026-03-18T03:08:36.464632	77987-Bojack-Horseman-Pilot-by-Raphael-Bob-Waksberg	openai	success	8.6	Transcendent								loser	0	
2026-03-18T03:08:46.749715	84622-Friday-Night-Lights-1x01-Pilot	openai	success	1.0	Generic								loser	0	
2026-03-18T03:09:04.114147	9JKL_1x01_-_Pilot	openai	success	5.2	Competent								loser	0	
2026-03-18T03:09:20.396193	AMC - The Killing 1x01	openai	success	7.2	Exceptional								loser	0	
2026-03-18T03:09:36.749352	AP_Bio_1x01_-_Pilot	openai	success	8.0	Exceptional								loser	0	
2026-03-18T03:09:53.889851	A_Gifted_Man_1x01_-_Pilot	openai	success	6.6	Promising								loser	0	
2026-03-18T03:10:12.968838	A_Midsummer's_Nightmare_1x01_-_Pilot	openai	success	7.6	Exceptional								loser	0	
2026-03-18T03:10:27.227911	A_Million_Little_Things_1x01_-_Pilot	openai	success	7.6	Exceptional								loser	0	
2026-03-18T03:10:43.825575	A_To_Z_1x01_-_Pilot	openai	success	7.6	Exceptional								loser	0	
2026-03-18T03:10:58.811936	Abbys_1x01_-_Pilot	openai	success	7.0	Exceptional								loser	0	
2026-03-18T03:11:13.834314	About_a_Boy_-_1x01_-_Pilot	openai	success	7.8	Exceptional								loser	0	
2026-03-18T03:11:32.868934	Accidentally_On_Purpose_1x01_-_Pilot	openai	success	6.2	Promising								loser	0	
